Date,EUR,JPY,GBP,CNY,BTC
2017-01-06,0.949217,116.95,0.813868,6.9185,0.001119784715
2017-01-07,0.94942,116.991,0.81407,6.9182,0.001110632922
2017-01-08,0.949641,117.152,0.815802,6.9184,0.001099562649
2017-01-09,0.944733,115.98237692,0.821665,6.9377,0.00110915161
2017-01-10,0.947656,115.8715,0.82143,6.9222,0.001101414017
2017-01-11,0.943861,115.097,0.818935,6.9371,0.001284556497
2017-01-12,0.941946,114.669,0.821955,6.9325,0.001246451508
2017-01-13,0.939607,114.485,0.820968,6.8998,0.001212262569
2017-01-14,0.939645,114.497,0.8203,6.9001,0.001223211665
2017-01-15,0.940959,114.225,0.830702,6.89995,0.001215629888
2017-01-16,0.943189,114.15525709,0.830559,6.9015,0.001206794786
2017-01-17,0.934869,112.8963,0.807212,6.85825,0.001105337198
2017-01-18,0.940891,114.71758333,0.815634,6.839,0.001143559615
2017-01-19,0.938174,114.9415,0.810495,6.8716,0.001111693144
2017-01-20,0.93447,114.595,0.808738,6.8765,0.001121956692
2017-01-21,0.934781,114.596,0.808016,6.8764,0.001087107181
2017-01-22,0.933389,113.80380006,0.807385,6.8765,0.001084683991
2017-01-23,0.929433,112.78708333,0.799041,6.854,0.001087452968
2017-01-24,0.932104,113.866,0.797894,6.8592,0.00113007758
2017-01-25,0.930025,113.2755,0.791485,6.8836,0.001118597887
2017-01-26,0.936035,114.426,0.79391,6.8794,0.001092542382
2017-01-27,0.934798,115.0905,0.796943,6.8811,0.001088968747
2017-01-28,0.934798,115.075,0.79694,6.8811,0.00108664789
2017-01-29,0.933099,114.65483333,0.79394,6.8812,0.001093809117
2017-01-30,0.933894,113.688,0.799984,6.8817,0.001086822087
2017-01-31,0.925752,112.7767,0.794404,6.87895,0.001046323351
2017-02-01,0.928581,113.2895,0.789817,6.881581,0.001046323351
2017-02-02,0.929325,112.8155,0.798756,6.8804,0.000991521205
2017-02-03,0.926956,112.5725,0.801038,6.87085,0.000983984375
2017-02-04,0.926956,112.705,0.801035,6.87085,0.000967258306
2017-02-05,0.927417,112.64730556,0.801061,6.8711,0.000984831138
